Leto,Starostne skupine,Rojeni v zakonski zvezi,Rojeni zunaj zakonske zveze
2016,20-24,474,1041
2016,25-29,1271,2569
2016,30-34,892,1999
2016,35-39,302,736
2016,40-44,53,137
2016,45-49,4,5
2016,50+,0,0
2016,Neznano,0,0
2017,Starostne skupine - SKUPAJ,3087,6181
2017,Pod 15,0,2
2017,15-19,36,113
2017,20-24,491,1060
2017,25-29,1241,2383
2017,30-34,933,1794
2017,35-39,305,665
2017,40-44,74,155
2017,45-49,6,9
2017,50+,1,0
2017,Neznano,0,0
2018,Starostne skupine - SKUPAJ,2894,6008
2018,Pod 15,0,1
2018,15-19,24,106
2018,20-24,442,1070
2018,25-29,1141,2215
2018,30-34,903,1769
2018,35-39,315,704
2018,40-44,67,134
2018,45-49,2,8
2018,50+,0,1
2018,Neznano,0,0
2019,Starostne skupine - SKUPAJ,2942,5953
2019,Pod 15,0,3
2019,15-19,20,148
2019,20-24,469,1007
2019,25-29,1148,2163
2019,30-34,886,1720
2019,35-39,333,734
2019,40-44,78,169
2019,45-49,7,8
2019,50+,1,1
2019,Neznano,0,0
2020,Starostne skupine - SKUPAJ,2945,5798
2020,Pod 15,0,4
2020,15-19,34,118
2020,20-24,503,911
2020,25-29,1158,2142
2020,30-34,855,1718
2020,35-39,318,720
2020,40-44,70,176
2020,45-49,7,8
2020,50+,0,1
2020,Neznano,0,0
2021,Starostne skupine - SKUPAJ,2818,5739
2021,Pod 15,0,3
2021,15-19,13,110
2021,20-24,451,929
2021,25-29,1110,2172
2021,30-34,867,1685
2021,35-39,301,693
2021,40-44,68,144
2021,45-49,8,3
2021,50+,0,0
2021,Neznano,0,0
2022,Starostne skupine - SKUPAJ,2833,5413
2022,Pod 15,0,0
2022,15-19,34,85
2022,20-24,507,863
2022,25-29,1090,2019
2022,30-34,809,1590
2022,35-39,316,679
2022,40-44,69,164
2022,45-49,7,13
2022,50+,1,0
2022,Neznano,0,0
2023,Starostne skupine - SKUPAJ,2754,5130
2023,Pod 15,0,2
2023,15-19,25,118
2023,20-24,471,794
2023,25-29,1103,1913
2023,30-34,800,1431
2023,35-39,271,691
2023,40-44,78,165
2023,45-49,6,14
2023,50+,0,2
2023,Neznano,0,0
2024,Starostne skupine - SKUPAJ,2819,4987
2024,Pod 15,0,3
2024,15-19,21,103
2024,20-24,469,848
2024,25-29,1137,1842
2024,30-34,799,1372
2024,35-39,305,634
2024,40-44,79,169
2024,45-49,9,16
2024,50+,0,0
2024,Neznano,0,0
,,,
"
",,,
"Povezane vsebine:
- <A class=seznam HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=9520 target=_blank>Metodološka pojasnila</A>
",,,
STAROSTNE SKUPINE:,,,
"Starost je čas, ki je pretekel od rojstva osebe do trenutka opazovanja - rojstva otroka. Podatki o starosti so izračunani iz datuma rojstva matere in datuma rojstva otroka.",,,
,,,
"DRUŽINSKA SKUPNOST, V KATERI JE ROJEN OTROK:",,,
"Otrok, rojen v zakonski zvezi, je otrok, rojen:
- v zakonski zvezi, sklenjeni po veljavnih zakonskih predpisih,
- največ 300 dni po prenehanju zakonske zveze (smrt zakonca, razglasitev zakonca za mrtvega, pravnomočna razveza zakonske zveze),
- v razveljavljeni zakonski zvezi,
- v zakonski zvezi, ki je bila razglašena za neobstoječo,
- staršem, ki so nameravali skleniti zakonsko zvezo, pa je po spočetju otroka nastal zakonski zadržek ali je sklenitev zakonske zveze onemogočila smrt enega od staršev.
 
Otrok, rojen zunaj zakonske zveze, je otrok, ki ga je rodila samska mati, mati, ki živi v zunajzakonski skupnosti, ali mati, ki je bila poročena, pa je od smrti moža oziroma od razveze zakonske zveze do rojstva otroka minilo več kot 300 dni.",,,
,,,
VRSTNI RED ROJSTVA:,,,
"Vrstni red rojstva je številčno zaporedje rojenega otroka glede na število vseh otrok, ki jih je mati rodila doslej.",,,
,,,
,,,
Zadnja objava:,,,
20250624 10:30,,,
,,,
Vir:,,,
Statistični urad Republike Slovenije,,,
,,,
Kontakt:,,,
"Statistični urad RS, T: (01) 241 64 04, E: gp.surs@gov.si",,,
,,,
Avtorske pravice,,,
,,,
Enote:,,,
število,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Podatkovna baza:,,,
SI-STAT,,,
,,,
ID tabele:,,,
05J1018S,,,
